,rating,raters,beers
https://untappd.com/18thStreetBrewery,3.95,241778,223
https://untappd.com/350Brewing,3.79,36988,251
https://untappd.com/3floyds,4.03,1698037,313
https://untappd.com/5Rabbit,3.63,146810,143
https://untappd.com/51stWardBeer,3.72,15160,50
https://untappd.com/9thHourBrewing,4.13,175,39
https://untappd.com/AllRiseBrewing,3.59,10645,30
https://untappd.com/AfterthoughtBrewing,4.34,1532,44
https://untappd.com/AlterBrewing_Company,3.75,32819,45
https://untappd.com/AndersonvilleBrewing,3.3,4722,81
https://untappd.com/AncientOwlBrewing,3.92,27,0
https://untappd.com/ALULUBrewPub,3.56,2508,38
https://untappd.com/Aleman,3.69,6003,50
https://untappd.com/ArrowheadAles,3.75,7981,85
https://untappd.com/AlarmistBrewing,3.71,14413,65
https://untappd.com/ATB,3.59,22393,32
https://untappd.com/ArgusBrewery,3.38,21852,69
https://untappd.com/BywayBrewingCompany,3.62,11583,66
https://untappd.com/BosackisHomeBrew,3.75,1916,25
https://untappd.com/BBGBBreweryHopFarm,3.57,3834,22
https://untappd.com/BlackHorizonBrewingCompany,3.68,3697,105
https://untappd.com/BoldDogBeerCo,3.61,852,38
https://untappd.com/baderbrau,3.44,30167,53
https://untappd.com/BlueNoseAdmin,3.62,12716,20
https://untappd.com/BuffaloCreekBrewing,3.52,2724,12
https://untappd.com/bangingavel,3.57,6290,23
https://untappd.com/BerghoffBeer,3.3,33879,45
https://untappd.com/BuckleDownBrewing,3.79,68287,110
https://untappd.com/BucketListBrewingCompany,3.45,1563,50
https://untappd.com/BulldogBrewingCoIndiana,3.43,4580,60
https://untappd.com/BallastPoint,3.79,3151803,811
https://untappd.com/BurntCity,3.59,52293,164
https://untappd.com/BirreriaEatalyChicago,3.69,3733,66
https://untappd.com/BegyleBrewing,3.75,89589,155
https://untappd.com/chicagobeerco,3.28,11112,12
https://untappd.com/CademonBrewing,3.51,5006,114
https://untappd.com/CahootsBrewing,3.78,11918,14
https://untappd.com/ChurchStreetBrewingCo,3.49,40045,24
https://untappd.com/CorridorBrewery,3.88,36814,169
https://untappd.com/CrystalLakeBrewery,3.71,32894,213
https://untappd.com/crownbrewing,3.71,21403,363
https://untappd.com/CruzBlancaChi,3.86,12281,111
https://untappd.com/DryCity,3.55,4994,100
https://untappd.com/DovetailBrewery,3.73,18001,36
https://untappd.com/DryHopBrewers,3.66,52218,304
https://untappd.com/DLitchsBeer,3.88,108,19
https://untappd.com/ElderBrewing,3.72,756,10
https://untappd.com/EmmettsBrewingCo,3.56,31345,165
https://untappd.com/ElmhurstBrewingCompany,3.65,2405,30
https://untappd.com/EmpiricalBrewery,3.61,30239,165
https://untappd.com/EvilHorseBrewing,3.71,7125,43
https://untappd.com/EnergyCityBrewing,4.1,1647,26
https://untappd.com/Eris_Brewery_And_Cider_House,3.76,3484,31
https://untappd.com/ESBC,3.74,11809,60
https://untappd.com/ForbiddenRoot,3.76,56964,156
https://untappd.com/finchbeer,3.62,178726,18
https://untappd.com/flapjackbrewery,3.66,1684,58
https://untappd.com/FlossmoorBrewCo,3.66,25123,87
https://untappd.com/FleskBrewingCompany,3.65,10299,56
https://untappd.com/GreatCentralBrewingCompany,3.65,1599,10
https://untappd.com/GreenstarBrewing,3.53,5460,52
https://untappd.com/gcfb,3.41,145814,181
https://untappd.com/GinosEast,3.53,9913,25
https://untappd.com/gooseisland,3.84,3470765,845
https://untappd.com/GooseIslandBrewpubs,3.7,99201,701
https://untappd.com/HopButcher,4.04,40282,39
https://untappd.com/HopewellBrewingCo,3.66,25205,66
https://untappd.com/HalfDayBrewing,3.69,6766,20
https://untappd.com/halfacrebeerco,3.91,638794,399
https://untappd.com/HailstormBrewingCo,3.94,92395,159
https://untappd.com/haymarket,3.69,96143,238
https://untappd.com/Hopothesis,3.37,16435,8
https://untappd.com/HorseThiefHollowBrewingCo,3.75,11667,155
https://untappd.com/HopvineBrewingCompany,3.42,12753,114
https://untappd.com/ImperialOakBrewing,3.85,44922,758
https://untappd.com/ibw666,3.77,22622,127
https://untappd.com/jollypumpkinartisanales,3.79,468281,216
https://untappd.com/KCBCbeer,3.94,54461,222
https://untappd.com/KinslahgerBrewingCompany,3.7,4456,26
https://untappd.com/LunarBrewingCo,3.67,7575,167
https://untappd.com/LakeEffectBrewing,3.69,29203,161
https://untappd.com/lakebluffbrewingco,3.65,10383,113
https://untappd.com/LightTheLamp,3.66,5782,94
https://untappd.com/LivingProofBrewing,,48,0
https://untappd.com/LaGrowOrganicBeerCo,3.6,1727,4
https://untappd.com/LoRezBrewing,3.71,4369,21
https://untappd.com/LagunitasBrewingCo,3.85,3817166,546
https://untappd.com/MetalMonkeyBrewing,3.8,23449,115
https://untappd.com/middlebrow,3.62,17873,72
https://untappd.com/MoodyTongue,3.72,70546,51
https://untappd.com/MoreBrewing,4.14,40533,95
https://untappd.com/MikerphoneBrewing,4.1,141674,289
https://untappd.com/ChainOLakesBrewingCompany,3.52,2748,0
https://untappd.com/UrbanLegendBeer,3.69,30522,195
https://untappd.com/MiskatonicBrewingCompany,3.64,28897,120
https://untappd.com/MickeyFinnsBrewery,3.6,10412,103
https://untappd.com/Maplewood,3.9,74562,98
https://untappd.com/MotorRowBrewing,3.51,11312,66
https://untappd.com/MyGrainBrewingCompany,3.71,4252,20
https://untappd.com/metrobrewing,3.54,65237,104
https://untappd.com/MarzCommunityBrewing,3.93,96117,171
https://untappd.com/NewOberpfalzBrewing,3.82,13839,68
https://untappd.com/Nevins_Brewing_Company,3.51,609,27
https://untappd.com/NoonWhistle,3.87,92957,204
https://untappd.com/OldIrvingBrewingCompany,3.85,15245,78
https://untappd.com/OakParkBrewingCompanyIL,3.54,4291,31
https://untappd.com/OffColorBrewing,3.8,289498,131
https://untappd.com/OffSquareBrewing,3.78,7314,45
https://untappd.com/OswegoBrewingCo,3.89,1381,7
https://untappd.com/OpenOutcryBrew,3.92,4319,41
https://untappd.com/OnTourBrewingCompany,3.71,16089,73
https://untappd.com/onlychildbrewing,3.79,26484,124
https://untappd.com/PieceBrewery,3.75,39821,70
https://untappd.com/pipeworksbrewery,3.97,707211,328
https://untappd.com/PrairieKrafts,3.65,10443,84
https://untappd.com/PeckishPig,3.56,4197,31
https://untappd.com/PollyannaBrewingCompany,3.78,91420,173
https://untappd.com/PenroseBrewingCompany,3.76,78774,464
https://untappd.com/PokroBrewingCo,3.6,5619,104
https://untappd.com/PresentTenseFineAles,,26,0
https://untappd.com/theRAM,3.61,129633,1289
https://untappd.com/RabidBrewing,3.61,742,27
https://untappd.com/RaviniaBrewingCompany,3.61,1789,10
https://untappd.com/RockBottom,3.51,350101,4072
https://untappd.com/RevolutionBrewingChicago,3.86,1000893,278
https://untappd.com/RoaringTableBrewing,3.84,4372,32
https://untappd.com/SideLotBrewery,3.5,2710,43
https://untappd.com/solemnoathbeer,3.8,216937,251
https://untappd.com/SullersPast,3.89,282,1
https://untappd.com/SmylieBrothersBrewingCompany,3.57,14137,116
https://untappd.com/SmallTownBrewery,3.82,357575,70
https://untappd.com/SkeletonKeyBrewery,3.76,10183,41
https://untappd.com/SaintJohnMaltBrothers,3.63,12742,33
https://untappd.com/SoundgrowlerBrewingCo,3.71,6839,24
https://untappd.com/SaintErrant,4.18,10619,23
https://untappd.com/StupidHareBrews,,24,7
https://untappd.com/ScorchedEarthBrewing,3.68,32652,199
https://untappd.com/ShortFuseBrewing,3.57,15318,43
https://untappd.com/Sketchbook,3.78,28132,73
https://untappd.com/spitefulbrewing,3.88,88252,136
https://untappd.com/TheDevilsTrumpetBrewery,3.81,24576,97
https://untappd.com/TwoBrothersBrewing,3.65,578066,624
https://untappd.com/TenNinetyBrewingCo,3.57,27562,61
https://untappd.com/TheLuckyMonk,3.55,17745,132
https://untappd.com/TribesBeerCompany,3.72,12063,92
https://untappd.com/TightheadBrewingCompany,3.69,60606,105
https://untappd.com/TrailsEdgeBrewingCo,3.67,225,6
https://untappd.com/TemperanceBeer,3.76,63346,79
https://untappd.com/TwistedHippo,3.46,3838,40
https://untappd.com/uneannee,4.04,89635,88
https://untappd.com/UrbanRenewBrewery,3.85,161,4
https://untappd.com/ViceDistrictBrewing,3.57,15055,85
https://untappd.com/VeteranBeerCompany,3.36,12986,7
https://untappd.com/VillageVintner,3.6,5024,29
https://untappd.com/WindmillBrewing,3.94,13399,53
https://untappd.com/Wildrosebrewing,3.69,6978,46
https://untappd.com/wildonion,3.64,72034,175
https://untappd.com/WolfdenBrewingCompany,3.57,135,27
https://untappd.com/WerkForceBrewingCompany,3.86,30317,285
https://untappd.com/WillCountyBrewingCo,3.84,1373,26
https://untappd.com/ZumBierBrewer,3.85,8746,95
https://untappd.com/w/band-of-bohemia/201836,3.53,8617,60
https://untappd.com/w/stockholms/12082,3.11,3246,34
https://untappd.com/w/macushla-brewing-co/357382,3.77,1715,27
https://untappd.com/w/25-west-brewing-co/391402,,16,2
https://untappd.com/w/staatliches-hofbra-uhaus-ma-1-4-nchen/5566,3.62,415206,77
https://untappd.com/w/blue-island-beer-company/120917,3.75,10205,90
https://untappd.com/w/woggly-square-brewing/382879,3.8,44,7
https://untappd.com/w/itasca-brewing-company/40906,3.72,1248,69
https://untappd.com/w/one-trick-pony/31051,3.77,27720,218
